"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","73.6","0.0","73.4","0.0","-0.2","0.0","74.3","0.0","0.7","0.0","75.7","0.0","2.1","0.0","77.3","0.0","3.7","0.0"
"PORION","-20.1","-13.6","-21.9","-14.4","-1.9","-0.8","-20.7","-15.3","-0.6","-1.7","-23.0","-16.3","-2.9","-2.7","-22.5","-16.1","-2.4","-2.4"
"ORBITALE","54.0","-27.5","54.8","-27.7","0.8","-0.2","56.0","-27.3","1.9","0.2","55.6","-27.8","1.6","-0.4","57.4","-29.4","3.3","-2.0"
"U I APEX","54.5","-51.6","54.9","-55.1","0.4","-3.5","56.6","-56.7","2.1","-5.1","56.7","-55.4","2.2","-3.8","58.6","-59.4","4.1","-7.8"
"POINT A","60.2","-54.3","60.1","-56.6","-0.1","-2.4","61.4","-57.4","1.2","-3.2","61.8","-57.8","1.5","-3.5","64.4","-62.0","4.1","-7.8"
"U I EDGE","60.4","-75.8","61.4","-76.9","1.0","-1.1","62.5","-79.2","2.1","-3.4","64.0","-82.5","3.6","-6.7","65.8","-85.5","5.3","-9.8"
"L I EDGE","56.7","-70.5","57.1","-71.2","0.4","-0.8","58.6","-73.8","2.0","-3.3","61.0","-78.3","4.3","-7.8","62.1","-80.6","5.5","-10.2"
"POINT B","51.8","-87.3","52.7","-90.4","0.8","-3.0","54.6","-89.1","2.8","-1.8","55.7","-96.5","3.9","-9.1","58.5","-99.4","6.7","-12.1"
"L I APEX","43.3","-92.9","44.9","-92.4","1.6","0.4","46.6","-94.3","3.3","-1.4","46.8","-100.4","3.5","-7.6","48.1","-103.7","4.9","-10.8"
"POGONION","52.7","-99.1","53.9","-100.8","1.2","-1.7","55.6","-102.6","3.0","-3.5","57.5","-107.8","4.8","-8.7","60.3","-112.7","7.6","-13.6"
"MENTON","41.0","-102.8","43.6","-106.4","2.6","-3.6","45.3","-108.8","4.3","-5.9","46.4","-114.1","5.3","-11.3","48.5","-117.1","7.4","-14.3"
"U 6 APEX","36.7","-45.4","34.6","-46.2","-2.1","-0.8","37.4","-45.9","0.7","-0.5","36.8","-49.4","0.2","-4.0","39.5","-54.5","2.9","-9.1"
"U 6 CUSP","28.9","-63.1","29.4","-64.8","0.4","-1.8","30.6","-67.7","1.6","-4.6","31.7","-71.5","2.8","-8.4","33.2","-76.2","4.2","-13.2"
"L 6 CUSP","29.4","-64.9","30.2","-66.2","0.8","-1.3","31.6","-69.1","2.2","-4.3","33.0","-72.5","3.7","-7.6","32.6","-76.1","3.3","-11.3"
"L 6 APEX","17.9","-82.0","17.3","-83.5","-0.7","-1.5","19.6","-88.3","1.6","-6.3","22.1","-94.2","4.2","-12.2","21.7","-96.3","3.7","-14.3"
"GONION L","-6.7","-76.0","-10.8","-74.5","-4.0","1.5","-8.9","-78.7","-2.2","-2.8","-8.7","-84.2","-2.0","-8.3","-8.3","-90.0","-1.5","-14.0"
"GONION U","-7.0","-74.6","-8.8","-75.6","-1.8","-1.0","-11.0","-77.1","-4.0","-2.5","-11.6","-82.1","-4.6","-7.5","-8.6","-87.8","-1.6","-13.1"
"CONDYLE","-15.2","-14.8","-17.4","-13.7","-2.3","1.1","-16.8","-16.8","-1.6","-1.9","-17.2","-17.5","-2.1","-2.7","-16.8","-19.2","-1.7","-4.3"
"PNS","14.0","-43.5","13.3","-44.5","-0.7","-0.9","15.3","-46.3","1.3","-2.8","13.2","-48.5","-0.8","-4.9","15.7","-50.9","1.6","-7.4"
"BASION","-26.3","-35.9","-26.7","-36.6","-0.5","-0.7","-27.0","-36.7","-0.8","-0.8","-29.4","-37.8","-3.1","-1.9","-27.9","-38.4","-1.6","-2.6"
"MID GONION","-6.8","-75.3","-9.8","-75.0","-2.9","0.3","-9.9","-77.9","-3.1","-2.6","-10.1","-83.2","-3.3","-7.9","-8.4","-88.9","-1.6","-13.6"
"ANS","65.2","-50.7","63.7","-50.2","-1.5","0.5","66.0","-52.5","0.8","-1.8","65.1","-54.8","-0.1","-4.0","68.0","-57.5","2.8","-6.8"
"ARTICULAR","-16.9","-29.6","-17.3","-30.0","-0.4","-0.4","-18.0","-31.6","-1.1","-2.0","-18.1","-32.4","-1.3","-2.8","-19.1","-34.3","-2.2","-4.7"
