"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.9","0.0","70.3","0.0","2.4","0.0","70.0","0.0","2.1","0.0","70.6","0.0","2.7","0.0","71.5","0.0","3.6","0.0","68.7","0.0","0.8","0.0"
"PORION","-23.3","-12.5","-22.0","-13.2","1.4","-0.7","-24.6","-12.9","-1.2","-0.4","-24.9","-17.1","-1.6","-4.6","-22.6","-20.1","0.8","-7.6","-23.5","-12.1","-0.1","0.4"
"ORBITALE","54.0","-26.9","54.7","-28.4","0.6","-1.4","52.4","-26.5","-1.6","0.5","51.6","-27.4","-2.4","-0.4","53.9","-28.1","-0.2","-1.1","52.9","-26.9","-1.2","0.1"
"U I APEX","n/a","n/a","53.6","-50.2","n/a","n/a","53.0","-50.3","n/a","n/a","53.6","-52.1","n/a","n/a","53.2","-54.6","n/a","n/a","N/A","N/A","n/a","n/a"
"POINT A","58.8","-49.8","60.1","-51.7","1.3","-1.8","59.3","-53.0","0.5","-3.2","59.5","-55.5","0.8","-5.7","59.5","-58.4","0.7","-8.6","60.1","-49.5","1.3","0.4"
"U I EDGE","n/a","n/a","56.4","-71.7","n/a","n/a","57.7","-73.8","n/a","n/a","57.7","-78.0","n/a","n/a","58.5","-80.2","n/a","n/a","N/A","N/A","n/a","n/a"
"L I EDGE","n/a","n/a","51.5","-75.7","n/a","n/a","49.6","-74.3","n/a","n/a","52.4","-76.4","n/a","n/a","55.1","-77.6","n/a","n/a","N/A","N/A","n/a","n/a"
"POINT B","39.2","-84.6","39.9","-92.2","0.6","-7.6","38.1","-92.3","-1.1","-7.6","40.9","-93.7","1.7","-9.0","43.7","-93.6","4.5","-9.0","38.5","-89.0","-0.7","-4.4"
"L I APEX","n/a","n/a","33.5","-89.5","n/a","n/a","32.0","-91.3","n/a","n/a","34.4","-92.7","n/a","n/a","36.5","-94.3","n/a","n/a","N/A","N/A","n/a","n/a"
"POGONION","36.6","-94.2","39.2","-101.2","2.6","-7.0","37.7","-101.7","1.1","-7.5","40.7","-104.8","4.2","-10.6","43.4","-107.3","6.8","-13.1","36.9","-97.4","0.3","-3.2"
"MENTON","27.1","-98.5","30.1","-107.0","3.1","-8.4","28.4","-108.0","1.4","-9.4","31.8","-111.3","4.7","-12.7","35.2","-113.9","8.1","-15.4","28.2","-102.3","1.1","-3.8"
"U 6 APEX","n/a","n/a","33.1","-44.6","n/a","n/a","34.4","-45.6","n/a","n/a","N/A","N/A","n/a","n/a","33.7","-46.7","n/a","n/a","N/A","N/A","n/a","n/a"
"U 6 CUSP","n/a","n/a","26.0","-62.0","n/a","n/a","25.4","-62.2","n/a","n/a","N/A","N/A","n/a","n/a","26.1","-66.7","n/a","n/a","N/A","N/A","n/a","n/a"
"L 6 CUSP","n/a","n/a","23.7","-62.0","n/a","n/a","22.5","-62.6","n/a","n/a","24.8","-64.8","n/a","n/a","26.9","-68.1","n/a","n/a","N/A","N/A","n/a","n/a"
"L 6 APEX","n/a","n/a","13.1","-78.3","n/a","n/a","11.9","-79.9","n/a","n/a","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a"
"GONION L","-7.3","-70.6","-8.8","-75.1","-1.5","-4.5","-11.5","-74.8","-4.2","-4.2","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a","-8.0","-73.2","-0.6","-2.5"
"GONION U","-6.5","-67.7","-10.3","-72.7","-3.8","-5.0","-12.0","-73.0","-5.5","-5.3","-11.6","-76.9","-5.1","-9.1","-9.7","-79.8","-3.2","-12.1","-7.1","-69.5","-0.6","-1.7"
"CONDYLE","-19.9","-15.1","-18.8","-14.5","1.1","0.5","-20.2","-15.3","-0.3","-0.2","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a","-18.6","-17.6","1.3","-2.5"
"PNS","17.3","-39.0","13.9","-42.8","-3.4","-3.7","12.9","-43.0","-4.4","-4.0","12.4","-42.9","-4.9","-3.9","11.5","-44.9","-5.8","-5.9","16.5","-40.8","-0.8","-1.8"
"BASION","-28.9","-27.2","-31.1","-29.7","-2.2","-2.5","-31.9","-28.9","-3.0","-1.7","-33.3","-31.4","-4.4","-4.2","-32.6","-33.3","-3.7","-6.1","-29.1","-28.7","-0.3","-1.5"
"MID GONION","-6.9","-69.2","-9.6","-73.9","-2.7","-4.8","-11.8","-73.9","-4.8","-4.8","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a","-7.5","-71.3","-0.6","-2.1"
"ANS","62.2","-44.3","63.6","-48.4","1.5","-4.1","63.7","-48.1","1.6","-3.9","64.8","-50.7","2.7","-6.4","65.0","-51.0","2.8","-6.8","62.7","-44.4","0.6","-0.1"
"ARTICULAR","-19.7","-24.1","-20.3","-25.5","-0.6","-1.4","-21.3","-26.3","-1.6","-2.3","-22.3","-27.3","-2.6","-3.3","-20.8","-28.5","-1.1","-4.4","-18.6","-25.0","1.1","-0.9"
